bin_file,year,days,pnl,max_dd,ttr_median,ttr_p90,ttr_max,worst_1d,cum_pnl,pos_year
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_10_00_20_00_daily.parquet,2018,365,1396.0008239584738,-817.6259846961876,6.0,33.80000000000001,168.0,-168.82897010312217,1396.0008239584738,1
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_10_00_20_00_daily.parquet,2019,364,700.2716884013757,-1031.3790976615546,3.0,72.59999999999997,182.0,-198.70756077563667,2096.2725123598493,1
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_10_00_20_00_daily.parquet,2020,366,1817.6938539643947,-548.9556601022473,4.0,47.800000000000004,65.0,-197.94613804609645,3913.966366324244,1
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_10_00_20_00_daily.parquet,2021,364,815.9282144246345,-1394.0508680219066,5.0,25.20000000000001,161.0,-188.903939542856,4729.894580748878,1
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_10_00_20_00_daily.parquet,2022,364,-470.9532895247619,-1605.3169173811084,1.5,74.59999999999992,278.0,-186.1541468357698,4258.941291224116,0
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_10_00_20_00_daily.parquet,2023,364,-383.75489043378957,-1663.2106499400002,5.0,18.0,287.0,-150.41423529,3875.1864007903264,0
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_10_00_20_00_daily.parquet,2024,366,-241.29158844999972,-1044.5181256199996,3.5,86.30000000000013,189.0,-182.27554821,3633.8948123403266,0
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_10_00_20_00_daily.parquet,2025,228,89.45849205999991,-828.2611385799999,2.5,34.0,69.0,-177.59130334,3723.3533044003266,1
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_2_50_4_00_daily.parquet,2018,365,-140.51641090716106,-314.6605272575996,5.5,243.90000000000006,345.0,-54.57038468789125,-140.51641090716106,0
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_2_50_4_00_daily.parquet,2019,364,199.41224371478435,-378.8785788109053,6.5,40.50000000000001,218.0,-53.600039903134736,58.89583280762329,1
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_2_50_4_00_daily.parquet,2020,366,-166.1700521357005,-494.49087773738273,35.0,251.8,306.0,-63.569517941067765,-107.27421932807721,0
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_2_50_4_00_daily.parquet,2021,364,-125.87748551607052,-494.61174795458817,3.0,153.00000000000006,258.0,-58.51527549461906,-233.15170484414773,0
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_2_50_4_00_daily.parquet,2022,364,99.28372894016232,-302.16332790128916,12.0,162.5,299.0,-57.22005302703684,-133.8679759039854,1
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_2_50_4_00_daily.parquet,2023,364,915.0251868020462,-143.51905596999995,2.0,17.400000000000006,54.0,-70.13189959422718,781.1572108980607,1
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_2_50_4_00_daily.parquet,2024,366,415.18148899999994,-473.7375713799997,3.0,28.0,155.0,-50.28068944,1196.3386998980607,1
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_2_50_4_00_daily.parquet,2025,228,18.01526043999999,-346.72982251,6.5,149.30000000000004,209.0,-60.56155427,1214.3539603380607,1
