basket,years,total_pnl,avg_year_pnl,avg_year_dd,avg_profit_dd_ratio,positive_years
basket_TOP10_BY_POST_PNL,8,7423.641152116604,927.9551440145755,-281.92778366287774,3.8573526420558397,8
basket_TOP10_BY_POST_RATIO,8,7423.641152116604,927.9551440145755,-281.92778366287774,3.8573526420558397,8
basket_TOP3_BY_POST_PNL,8,3755.9327641591785,469.4915955198973,-196.56648858039026,2.6971169937506687,7
basket_TOP3_BY_POST_RATIO,8,3755.9327641591785,469.4915955198973,-196.56648858039026,2.6971169937506687,7
basket_TOP5_BY_POST_PNL,8,4960.9318086008825,620.1164760751103,-254.4616687867998,2.56212463536101,8
basket_TOP5_BY_POST_RATIO,8,4960.9318086008825,620.1164760751103,-254.4616687867998,2.56212463536101,8
basket_TOP15_BY_POST_PNL,8,5996.01344665144,749.50168083143,-443.8442416148012,2.082910068804682,8
basket_TOP15_BY_POST_RATIO,8,5996.01344665144,749.50168083143,-443.8442416148012,2.082910068804682,8
basket_ALL_UK_10_20,8,4400.255410716241,550.0319263395302,-694.4487696426083,1.0503178578480612,7
