track,n_bets,win_rate,total_pnl,max_dd,profit_dd_ratio
Harlow,3731,0.08871616188689359,545.5358992065514,-116.52796156407828,4.681587937214222
Towcester,3942,0.08701166920345002,373.22827507405725,-111.19290835837919,3.356583442094415
Romford,5767,0.08028437662562858,231.92297073078237,-137.109584003244,1.6915153846961937
Hove,5003,0.07895262842294623,70.41308684525178,-259.77235892405747,0.27105688664064725
Henlow,1860,0.08279569892473118,63.28233201441748,-144.85022809926002,0.4368811347059298
Kinsley,2461,0.08289313287281593,44.29934273735583,-132.70445812352807,0.33381955183540063
Swindon,4298,0.07794322940902745,-48.658610409287924,-382.05771379933975,-0.12735931942168266
Perry Barr,3399,0.07237422771403354,-182.45319341020868,-281.33323482401613,-0.6485305354141312
Crayford,4873,0.07592858608659964,-201.913327342372,-452.9761023008846,-0.4457482995609628
Sunderland,3716,0.07023681377825619,-467.2167631518615,-576.2069011171944,-0.8108489541620998
