month,train_rows,test_rows,top_n,min_train_bets_per_track,top_tracks,worst_band_train,test_bets_after_rule,test_total_pnl,test_max_dd,test_ttr_p90_days,test_worst_20d
2022-01,435900,10922,3,500,"Harlow,Romford,Swindon",10-12,1360,-106.64296261495576,-157.64016450346253,1.0,-89.92388427044264
2022-02,446822,9594,3,500,"Harlow,Romford,Swindon",12-15,1204,150.83408250347733,-100.66326623910936,8.200000000000001,-6.590352395703025
2022-03,456416,11058,3,500,"Harlow,Romford,Swindon",12-15,1484,193.9301885412791,-132.09266776421248,19.9,-107.20928154359792
2022-04,467474,10750,3,500,"Harlow,Romford,Swindon",12-15,1408,222.42451660414437,-84.274983308,5.7,166.67394828870894
2022-05,478224,11146,3,500,"Harlow,Romford,Towcester",10-12,1278,215.73821575973625,-121.33517458603365,9.3,26.68073264457354
2022-06,489370,10848,3,500,"Harlow,Romford,Towcester",10-12,1312,41.06123376903942,-189.50193755167595,1.0,-102.28557466926478
2022-07,500218,10546,3,500,"Harlow,Romford,Swindon",12-15,1396,55.22360340002261,-104.74830655344874,14.8,-37.5014550752683
2022-08,510764,10310,3,500,"Harlow,Romford,Towcester",10-12,1242,181.1074798291892,-166.74473135841197,3.0,-26.009386882200573
2022-09,521074,9612,3,500,"Harlow,Romford,Towcester",10-12,1102,70.66595357945315,-132.07289261880948,16.400000000000002,-16.662726781683844
2022-10,530686,10998,3,500,"Harlow,Romford,Towcester",10-12,1348,-32.13657964612358,-97.12070132944226,9.0,-60.02914816430842
2022-11,541684,10118,3,500,"Harlow,Romford,Towcester",10-12,1146,167.5871061121295,-166.7643163243239,1.9,-39.38681010041501
2022-12,551802,8948,3,500,"Harlow,Romford,Towcester",10-12,960,251.55866148178677,-96.58803002402828,7.900000000000001,145.72804966841025
2023-01,560750,10142,3,500,"Harlow,Romford,Towcester",10-12,1144,-232.68331124038593,-229.96318655360642,,-206.96318655360645
2023-02,570892,9628,3,500,"Harlow,Romford,Towcester",10-12,1076,154.34262407084933,-84.96834725222685,17.6,-49.23248738915066
