year,pnl,max_dd,ttr_p90,ttr_max,worst_1d,basket
2022,-117.5334087753655,-1154.341593601555,133.4,187.0,-140.15728129533358,WF_ALL_UK_10_20
2023,143.9930863006329,-274.6711428391863,27.000000000000007,36.0,-95.5,WF_ALL_UK_10_20
2022,751.05192407682,-179.11830332886586,18.099999999999998,171.0,-61.5,WF_TOP3_TRAIN_PNL
2023,-175.50638148185823,-247.05819446574225,32.400000000000006,40.0,-42.904598355,WF_TOP3_TRAIN_PNL
2022,531.4900702835997,-438.6742560194683,17.000000000000014,190.0,-72.0,WF_TOP5_TRAIN_PNL
2023,65.80994874732583,-187.7566432749776,22.300000000000004,28.0,-49.173463243,WF_TOP5_TRAIN_PNL
2022,377.28320148641285,-769.56852424262,18.800000000000004,198.0,-84.26556158011277,WF_TOP10_TRAIN_PNL
2023,51.15681080827308,-255.97049523601842,31.0,37.0,-57.53787861918608,WF_TOP10_TRAIN_PNL
2022,377.28320148641285,-769.56852424262,18.800000000000004,198.0,-84.26556158011277,WF_TOP15_TRAIN_PNL
2023,51.15681080827308,-255.97049523601842,31.0,37.0,-57.53787861918608,WF_TOP15_TRAIN_PNL
