start_idx,trough_idx,recovery_idx,peak_equity,dd_amount,dd_pct,duration_days
0,1,2.0,6.819445635010516,-2.6000000000000005,-0.3812626625618654,2
2,3,4.0,12.729575668155455,-0.8459589426999123,-0.06645617770403604,2
4,7,9.0,17.970740166426104,-5.36987238649907,-0.29881197639991214,5
9,157,300.0,38.30328665981234,-77.61334448072404,-2.0262841977515116,291
300,312,324.0,38.656502008442345,-37.596447963798056,-0.9725776004147302,24
324,326,327.0,39.64603738788346,-1.6356255343147197,-0.0412557128550405,3
327,334,337.0,49.83674729316243,-21.799463471558763,-0.4374174611220992,10
337,399,454.0,62.16606657498004,-61.14588720191301,-0.9835894495297275,117
454,460,466.0,62.9943967578254,-9.626426315552791,-0.15281400903893821,12
467,469,470.0,80.71723341266345,-13.124727164055614,-0.1626013009756665,3
471,481,491.0,91.20726809399861,-32.87255335233119,-0.36041594095826435,20
494,496,498.0,112.23520131562476,-11.743145016706762,-0.10462978529956043,4
498,499,500.0,116.80484274572164,-0.08046914402930838,-0.0006889195870455965,2
503,504,505.0,134.07161001421267,-1.4423862509999879,-0.010758327216679828,2
508,509,512.0,150.7328495709944,-15.393652457058352,-0.10212539934639808,4
512,806,1589.0,152.67440217393494,-225.7708148321704,-1.4787732037421708,1077
1589,1592,1594.0,156.50985702176436,-10.792699470000002,-0.06895859261119357,5
1594,1599,1610.0,162.86241250176437,-31.502856580000014,-0.1934323340547269,16
1610,1611,1612.0,163.05100462176435,-4.851887010000013,-0.02975686670103702,2
1613,1614,1615.0,184.41440993176434,-4.1106746199999975,-0.02229041982956212,2
1617,1618,1619.0,187.96023607176434,-0.23802053,-0.00126633449166941,2
1621,1847,,205.97861167176436,-217.4723110199999,-1.0558004506145096,241
